127.0.0.1 - - [06/Nov/2018:14:31:46 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:34:19 +0530] "GET /MVCWorkflow/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:34:19 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:34:22 +0530] "GET /MVCWorkflow/codeNuclear.html HTTP/1.1" 500 8917
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:35:01 +0530] "GET /MVCWorkflow/codeNuclear.html HTTP/1.1" 500 8917
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:39:36 +0530] "GET /MVCWorkflow/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:39:39 +0530] "GET /MVCWorkflow/codeNuclear.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:40:52 +0530] "GET /MVCWorkflow/ HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:40:54 +0530] "GET /MVCWorkflow/sample.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:41:11 +0530] "GET /MVCWorkflow/ HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:41:23 +0530] "GET /MVCWorkflow/sample.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:42:28 +0530] "GET /MVCWorkflow/ HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:42:30 +0530] "GET /MVCWorkflow/sample.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:43:07 +0530] "GET /MVCWorkflow/sample.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:43:09 +0530] "GET /MVCWorkflow/ HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:43:30 +0530] "GET /MVCWorkflow/ HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:48:16 +0530] "GET /MVCWorkflow/ HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:48:21 +0530] "GET /MVCWorkflow/welcome HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:59:50 +0530] "GET /MVCWorkflow/ HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [06/Nov/2018:14:59:55 +0530] "GET /MVCWorkflow/welcome HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [06/Nov/2018:15:01:12 +0530] "GET /MVCWorkflow/ HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [06/Nov/2018:15:01:18 +0530] "GET /MVCWorkflow/welcome HTTP/1.1" 404 1047
